GEOID,NAME,order
22019,Calcasieu,1
22111,Union,2
22105,Tangipahoa,3
22021,Caldwell,4
22107,Tensas,5
22049,Jackson,6
22043,Grant,7
22061,Lincoln,8
22053,Jefferson Davis,9
22055,Lafayette,10
22113,Vermilion,11
22035,East Carroll,12
22037,East Feliciana,13
22087,St. Bernard,14
22047,Iberville,15
22083,Richland,16
22099,St. Martin,17
22027,Claiborne,18
22039,Evangeline,19
22097,St. Landry,20
22077,Pointe Coupee,21
22059,LaSalle,22
22119,Webster,23
22093,St. James,24
22075,Plaquemines,25
22067,Morehouse,26
22079,Rapides,27
22009,Avoyelles,28
22127,Winn,29
22115,Vernon,30
22025,Catahoula,31
22007,Assumption,32
22031,De Soto,33
22017,Caddo,34
22081,Red River,35
22117,Washington,36
22085,Sabine,37
22051,Jefferson,38
22103,St. Tammany,39
22023,Cameron,40
22033,East Baton Rouge,41
22045,Iberia,42
22069,Natchitoches,43
22109,Terrebonne,44
22013,Bienville,45
22015,Bossier,46
22003,Allen,47
22073,Ouachita,48
22095,St. John the Baptist,49
22091,St. Helena,50
22125,West Feliciana,51
22101,St. Mary,52
22057,Lafourche,53
22123,West Carroll,54
22029,Concordia,55
22063,Livingston,56
22121,West Baton Rouge,57
22065,Madison,58
22071,Orleans,59
22005,Ascension,60
22001,Acadia,61
22089,St. Charles,62
22011,Beauregard,63
22041,Franklin,64
