"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",42364.296,11.0638540198773,42340,42360,42360,42370,42390,1.0022165199453,1100
"sigma",1.1103904,0.0169877045023997,1.07797498868743,1.099,1.11,1.122,1.144,1.00743791698069,230
"u[1]",0.97480604,0.0864742423987518,0.808149939582323,0.9178,0.9761,1.03,1.151,1.00249031256919,890
"u[2]",1.02514996,0.120314712541772,0.7962,0.9471,1.019,1.101,1.274,1.00081494191563,5000
"u[3]",0.92502392,0.0998033804977835,0.724394999326907,0.85889998253309,0.928549998653815,0.98754999620298,1.121,1.00180924590376,1500
"u[4]",1.00023358,0.12969918939735,0.729584993983173,0.9223,1.005,1.078,1.256,1.00099358999499,5000
"u[5]",0.9604582,0.138978660096982,0.661367468818316,0.876999982893636,0.9647,1.052,1.218,1.00079850766114,5000
"u[6]",0.99169374,0.126969139617844,0.741197499835556,0.91477499897512,0.9899,1.068,1.256,1.00218462639526,2900
"u[7]",1.0031221,0.127435501533129,0.757274983892638,0.9227,1.002,1.07924991316094,1.269,1.00102851796058,5000
"u[8]",0.95935432,0.112328822971807,0.73,0.889849995785491,0.962049988306221,1.037,1.16707490616776,1.00088010828666,5000
"u[9]",0.968619,0.121973631036932,0.7227,0.888274998944544,0.9725,1.048,1.203,1.00144879965149,5000
"u[10]",1.15795778,0.0963556295653834,0.986997499876512,1.088,1.156,1.219,1.35602499101653,1.00140608668212,2500
"u[11]",0.96988172,0.111742141375013,0.754669976721356,0.896449995816522,0.970949998712601,1.042,1.197,1.00115929371274,4200
"u[12]",0.92034596,0.140513761728613,0.6226,0.830049959329998,0.9298,1.014,1.16402498953556,1.00239228639627,940
"u[13]",1.06534582,0.12856135661625,0.816694999402989,0.9828,1.059,1.146,1.33702499088893,1.00178822564011,1800
"u[14]",1.02720206,0.108809495481864,0.8231,0.955449996074874,1.023,1.095,1.25012475688997,1.00108823231485,5000
"u[15]",1.0465107,0.120026327642628,0.8204,0.9673,1.04,1.118,1.3,1.0008272626701,5000
