"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",60986.912,10.3269349333199,60970,60980,60990.0000000001,60990.0000000001,61010,1.01841703064804,94
"sigma",0.98818476,0.0127534494877726,0.963297499873473,0.9795,0.9881,0.9969,1.013,1.00457393417432,400
"u[1]",0.97824828,0.0618475978038955,0.834097499853873,0.9464,0.987449998734113,1.015,1.091,1.03540102865526,49
"u[2]",0.99380474,0.0663218250685887,0.84559749985586,0.9647,0.995499994977398,1.026,1.13,1.01463424852668,260
"u[3]",0.97848634,0.062722049221116,0.830297499853204,0.9482,0.9879,1.012,1.09202498884601,1.00906798659318,1000
"u[4]",1.00836792,0.0696417669650534,0.8658,0.9758,1.004,1.037,1.169,1.0056702230118,480
"u[5]",0.98682996,0.0710758836079055,0.816484994623853,0.9542,0.9947,1.024,1.124,1.01451610047291,360
"u[6]",0.99290738,0.0658135062662445,0.84419499942244,0.9616,0.997149998746427,1.025,1.131,1.0198463414188,910
"u[7]",1.00700698,0.0692033128468674,0.861869979619326,0.9748,1.003,1.04,1.16002498949949,1.00977650016348,1100
"u[8]",0.96961632,0.065400568747803,0.81269499940005,0.936874998999297,0.9824,1.008,1.08302498875337,1.00983950436332,210
"u[9]",0.98773208,0.0666704870961922,0.824094999408351,0.9579,0.9939,1.02,1.121,1.01666733523184,530
"u[10]",1.04322498,0.0674768706418275,0.938594999480537,0.9985,1.028,1.081,1.20302498987462,1.01139353015383,140
"u[11]",0.98454012,0.0627100737127187,0.8375,0.9535,0.9912,1.016,1.106,1.00484132764348,4300
"u[12]",0.98149684,0.0719513315848829,0.813697499850209,0.9482,0.9912,1.017,1.119,1.0163531890622,170
"u[13]",1.0072726,0.0680969117296623,0.868697499859694,0.9737,1.005,1.038,1.156,1.00386216871134,1900
"u[14]",0.99761798,0.063881764054191,0.858287496448743,0.964674999028137,0.9971,1.03,1.1370249892872,1.00334826901708,2700
"u[15]",1.0255384,0.070114961791428,0.902997499865023,0.9871,1.014,1.056,1.20702498990815,1.02634937435774,97
"u[16]",1.00943638,0.0687508883973632,0.863574985876796,0.9771,1.005,1.0402499099063,1.16502498954453,1.00196064560091,3700
"u[17]",1.0109005,0.0615258612298114,0.8873,0.9779,1.006,1.041,1.15004995765717,1.00123192874808,3500
