"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",322876.94,42.1258984267832,322800,322900,322900,322900,322900,1.00142413028643,2400
"sigma",0.6120805,0.00302363460478356,0.6062,0.61,0.612,0.6141,0.6182,1.00090156325176,5000
"u[1]",0.99957474,0.0266292630664593,0.937192498829379,0.9889,0.9998,1.012,1.057,1.01364240849098,460
"u[2]",1.00363306,0.0285442813228087,0.9434,0.9913,1.001,1.014,1.072,1.01625187710174,330
"u[3]",0.99538044,0.0272668717286229,0.9281,0.9848,0.998,1.009,1.047,1.02239812616678,250
"u[4]",1.00006324,0.0319950370085899,0.9261,0.9884,1,1.012,1.07,1.04870168926906,5000
"u[5]",0.9971183,0.0323800863666023,0.92279749986792,0.9871,0.9986,1.009,1.068,1.01701443785125,3700
"u[6]",1.00852196,0.0313496524685742,0.951884995388884,0.9943,1.003,1.02,1.087,1.01944534747046,150
"u[7]",1.01197098,0.0353655095777389,0.9522,0.996,1.004,1.023,1.107,1.05862039925589,130
"u[8]",0.99461182,0.0295956613530055,0.921989997884428,0.9834,0.9986,1.008,1.051,1.00977681134811,5000
"u[9]",0.99388436,0.0315578683564248,0.915997499866939,0.9823,0.9973,1.008,1.053,1.0687785388197,73
"u[10]",0.98208082,0.0335486801665249,0.8972,0.9674,0.9933,1.003,1.03,1.05908813820794,35
"u[11]",0.98424016,0.0335429070370607,0.894397499863725,0.9708,0.9933,1.003,1.033,1.07520280412013,36
"u[12]",1.003024,0.0334706585683192,0.9296974998689,0.9898,1.001,1.015,1.082,1.02819255484432,940
"u[13]",0.99640354,0.0288450147589438,0.930487496724392,0.9846,0.9994,1.009,1.054,1.01617823891537,5000
"u[14]",1.04345466,0.0613825056566164,0.985589998020981,1.001,1.018,1.0662499121025,1.211,1.12697860791935,22
"u[15]",0.98555512,0.0333684826882042,0.899297499864468,0.972974999036427,0.995,1.004,1.037,1.04240101153838,72
"u[16]",0.98468798,0.033702692649371,0.893197499863542,0.9731,0.9947,1.003,1.035,1.03111699693559,120
"u[17]",1.00092956,0.0278778200147744,0.9357,0.9897,1.001,1.012,1.064,1.02433548877684,2800
"u[18]",1.017051,0.0369011698224711,0.965497499873761,0.9978,1.006,1.03,1.116,1.0742583972078,50
"u[19]",1.00630516,0.0290791676801967,0.9512,0.9933,1.002,1.017,1.077,1.03680165908445,130
"u[20]",1.00702208,0.0262526279935726,0.958794999491482,0.9938,1.002,1.019,1.069,1.00643735415387,5000
"u[21]",1.00393036,0.0280936958305504,0.949997499871702,0.9914,1.002,1.015,1.072,1.0290219735362,860
"u[22]",1.01661744,0.036288679247042,0.9622,0.9972,1.006,1.03,1.118,1.05607831930442,77
"u[23]",0.9985666,0.0286136731109059,0.9366,0.9866,0.9997,1.01,1.062,1.02008483206627,550
"u[24]",1.00322164,0.0297836196005405,0.940592498833611,0.9906,1.002,1.015,1.071,1.03432502549024,4800
"u[25]",0.99315584,0.0302879121336992,0.921594999470953,0.9808,0.99684999874605,1.006,1.055,1.03494444097706,5000
"u[26]",0.99527016,0.0285955486510563,0.9267,0.9845,0.9991,1.008,1.053,1.051541813564,160
"u[27]",1.00410222,0.0252857399891907,0.95228999795176,0.992,1.002,1.015,1.062,1.00158958238505,5000
"u[28]",1.00914004,0.030471556638137,0.9573,0.9952,1.003,1.019,1.09,1.02416590767319,170
"u[29]",0.9999522,0.0346911789759263,0.923197499867977,0.9872,1,1.011,1.079,1.02758009054064,5000
"u[30]",0.99146912,0.0309863220285366,0.910797499866179,0.9802,0.9971,1.006,1.047,1.04933714086097,78
"u[31]",1.00563654,0.0312997526145359,0.9451,0.992374999055265,1.001,1.017,1.081,1.02469724877563,4600
"u[32]",1.01701982,0.0347589280873844,0.9657,0.9985,1.007,1.031,1.105,1.06094287551142,200
"u[33]",1.00388376,0.0306839329456086,0.9441,0.9909,1.002,1.015,1.079,1.03806837120089,860
"u[34]",1.00987358,0.0277249673533901,0.9611,0.9944,1.004,1.02224990832042,1.081,1.04420808768241,46
"u[35]",0.99274776,0.0342116443671517,0.8975,0.9817,0.9982,1.008,1.054,1.08749483314327,66
"u[36]",0.99827764,0.0296910957066803,0.9325,0.9869,0.9993,1.011,1.063,1.01358234309082,5000
"u[37]",1.00834754,0.030756922726559,0.9497,0.9945,1.003,1.021,1.084,1.01891356244847,140
"u[38]",1.0032683,0.0229869052434758,0.959594999491906,0.9915,1.001,1.014,1.05502498845507,1.00271198717643,5000
"u[39]",0.97005302,0.0375410227425587,0.8783,0.9499,0.9826,0.9989,1.015,1.12871321772042,19
"u[40]",1.00422834,0.0318321252775296,0.9359,0.9919,1.002,1.015,1.076,1.04558988974691,1300
"u[41]",1.0122287,0.0276537326250114,0.964192498862166,0.9979,1.006,1.025,1.07902498871171,1.04565274676829,100
"u[42]",0.99066634,0.02937233092162,0.918097499867244,0.978974999042333,0.9966,1.005,1.04102498829991,1.0501784873257,56
"u[43]",0.99663198,0.0285534768371121,0.927992498817771,0.986074999049229,0.9983,1.009,1.057,1.02324735894056,2300
"u[44]",0.99904324,0.0278060824631373,0.937597499870005,0.9892,0.9995,1.01,1.059,1.02175422971958,5000
"u[45]",1.00305894,0.0307098921452276,0.940697499870433,0.9902,1,1.014,1.078,1.03489103188791,260
"u[46]",0.99738808,0.0260958336985214,0.93828999792119,0.986,0.9994,1.009,1.054,1.03291248587125,1000
"u[47]",1.00402806,0.0311230448931509,0.9473,0.991274999054216,0.9998,1.015,1.075,1.03358530802849,5000
"u[48]",0.9946941,0.0245117385808443,0.937097499869935,0.9845,0.9977,1.007,1.044,1.00514947145362,5000
"u[49]",1.00334174,0.0266585785017496,0.946389997938987,0.9918,1.002,1.015,1.065,1.01878166825155,630
"u[50]",0.99916492,0.0311606349490456,0.928,0.9875,0.9996,1.011,1.068,1.0331648893938,5000
"u[51]",1.00073188,0.0304729846950515,0.933297499869406,0.9892,0.9998,1.011,1.07,1.03391731556399,910
"u[52]",0.9819958,0.0343754187209763,0.88959749986299,0.9685,0.9928,1.002,1.031,1.03508671918653,76
"u[53]",1.00427522,0.0256554700713223,0.9517,0.9924,1.001,1.015,1.066,1.02498556010089,490
"u[54]",1.00846878,0.0323283596843325,0.949997499871702,0.9929,1.002,1.02,1.091,1.06342999216113,46
