,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
deviance,42399.294,9.529938507,42380,42390,42400,42410,42420,1.000801515,5000
sigma,1.1090016,0.017656839,1.075,1.097,1.109,1.121,1.144,1.004255618,440
u[1],0.97647328,0.073055005,0.823792499,0.9316,0.977449988,1.023249908,1.119,1.002144171,3100
u[2],1.01535064,0.096429107,0.827794999,0.956874999,1.018,1.068,1.21902499,1.001342112,5000
u[3],0.94784072,0.083547271,0.7648,0.899374999,0.954149988,1.004,1.101,1.002943057,700
u[4],1.00570538,0.097850894,0.8076,0.9474,1.003,1.062,1.215,1.003613214,3000
u[5],0.98635728,0.101782634,0.777274984,0.932124991,0.9898,1.046,1.192,1.001374631,2600
u[6],1.00075922,0.096589086,0.799494999,0.944174999,0.9999,1.054,1.198,1.005629139,1200
u[7],1.00849374,0.096005111,0.816094999,0.9527,1.008,1.060249912,1.212,1.010155478,5000
u[8],0.9460423,0.092814755,0.736477487,0.889,0.952849999,1.01,1.118,1.00624935,280
u[9],0.98941162,0.092643112,0.800587496,0.934774999,0.9919,1.045,1.17002499,1.000943599,5000
u[10],1.0699673,0.07889659,0.931489998,1.017,1.066,1.119,1.239,1.008449745,200
u[11],0.99575356,0.087412252,0.819584995,0.9428,0.99439998,1.049249911,1.17302499,1.001032429,5000
u[12],0.95623782,0.102301744,0.726594999,0.8989,0.9676,1.023,1.146,1.002746735,770
u[13],1.0429391,0.098013507,0.861294999,0.985049996,1.033,1.097,1.260124759,1.003393884,2400
u[14],1.0383709,0.08782451,0.8804,0.9791,1.034,1.092,1.232,1.000961269,5000
u[15],1.0447631,0.093963997,0.8755,0.9827,1.035,1.097,1.25302499,1.003886891,3600
u[16],1.02423426,0.095161342,0.8396,0.967574999,1.018,1.077,1.22402499,1.002060052,5000
u[17],1.0338716,0.091896923,0.861567476,0.9732,1.026,1.09,1.22804996,1.000914139,5000
u[18],1.03304974,0.100997338,0.8425,0.971074999,1.025,1.088,1.25702499,1.003004277,2700
u[19],0.99919952,0.092481472,0.8073,0.9435,1,1.055,1.185,1.003770565,1000
u[20],1.0269673,0.083738264,0.8683,0.973299985,1.023,1.079,1.199,1.003422072,5000
u[21],1.00951586,0.092884688,0.822592499,0.9546,1.008,1.063,1.202,1.002148043,1200
u[22],0.97899656,0.099887276,0.765392499,0.9244,0.981649999,1.04,1.17302499,1.000876024,5000
u[23],1.0285659,0.09190512,0.851694999,0.9752,1.021,1.083,1.222,1.002042419,5000
u[24],0.99135698,0.096571751,0.7917,0.936474999,0.9911,1.05,1.18402499,1.001448187,2300
u[25],0.99896934,0.096285264,0.804862466,0.9425,1,1.052,1.20202499,1.001636157,3000
u[26],1.02412662,0.090050805,0.8506,0.9696,1.019,1.074,1.21802499,1.001543236,5000
u[27],1.0692621,0.088320669,0.915779991,1.009,1.057,1.122,1.263,1.006508746,420
u[28],0.95704586,0.095035903,0.7475,0.9007,0.9655,1.017,1.13,1.004493945,700
u[29],0.97711018,0.104415567,0.7535,0.9206,0.9838,1.04,1.175,1.001264375,3200
u[30],1.01505958,0.094549516,0.8326,0.958074999,1.013,1.072,1.21,1.001510577,2100
u[31],0.98583026,0.099203144,0.7642,0.9275,0.9902,1.048,1.179,1.006625094,1500
u[32],0.97335482,0.095972661,0.7636975,0.9207,0.9779,1.031,1.16,1.001713408,5000
u[33],1.0523913,0.101042022,0.8722,0.9888,1.045,1.107,1.284,1.000974089,5000
u[34],1.09596152,0.070665483,0.9677975,1.048,1.09,1.138,1.247,1.008712129,190
u[35],0.98954878,0.10151102,0.774692499,0.9295,0.991849999,1.05,1.190049959,1.001153501,4200
u[36],0.97767766,0.090705151,0.7827,0.9248,0.9821,1.035,1.145,1.000989077,5000
u[37],1.02202032,0.095246873,0.845094999,0.963,1.017,1.078,1.22902499,1.010234838,2900
u[38],1.0086587,0.061160963,0.894984995,0.9689,1.008,1.049,1.134,1.00625924,1400
u[39],1.00326848,0.074831277,0.8529,0.955374999,1.002,1.05,1.153024989,1.001898279,1400
u[40],1.0174649,0.099643578,0.819784995,0.9572,1.016,1.074,1.231,1.000885243,5000
u[41],0.95237958,0.070501516,0.811,0.9078,0.9565,1,1.081,1.009772578,300
u[42],0.99615398,0.083159483,0.830274985,0.944,0.9978,1.048,1.158024989,1.00083974,5000
u[43],0.98977132,0.093596294,0.801294999,0.936,0.992,1.047,1.175,1.001419494,2400
u[44],0.88610352,0.10313926,0.652172477,0.8241,0.9001,0.9575,1.047,1.00507542,380
