"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",320200,0,320200,320200,320200,320200,320200,1,1
"sigma",0.55356458,0.00266910776306431,0.5483,0.5517,0.5536,0.5553,0.5588,1.00122644826359,3500
"u[1]",1.00060928,0.0246236553493211,0.948089997942684,0.9903,1,1.01,1.056,1.03669911423376,120
"u[2]",1.00270238,0.0256929499643613,0.9485,0.9919,1.001,1.012,1.064,1.03272387783774,170
"u[3]",0.99552032,0.0234244403984214,0.9407,0.9847,0.9988,1.007,1.039,1.02880619343757,5000
"u[4]",1.00134424,0.0262960664633456,0.947294999485308,0.9908,1.001,1.01,1.059,1.02694442257505,5000
"u[5]",0.99869294,0.0276954378122376,0.935082493610502,0.989,1,1.01,1.057,1.03533651889485,5000
"u[6]",1.00589952,0.0269219776083643,0.957997499872773,0.9928,1.002,1.014,1.074,1.02944376652155,490
"u[7]",1.01059764,0.0296665107284655,0.9661,0.9958,1.003,1.021,1.091,1.02478119829346,200
"u[8]",0.99713038,0.0245584496771622,0.940297499870378,0.9873,0.999,1.008,1.04702498836691,1.03290417967026,1400
"u[9]",0.9992591,0.0239232452966378,0.9454,0.9888,0.9997,1.009,1.054,1.03160593235172,2300
"u[10]",0.98845624,0.0278908594537819,0.914592498800446,0.9795,0.9957,1.003,1.03,1.04752627332845,75
"u[11]",0.98720766,0.0292019494913476,0.907592498791192,0.977474999040864,0.9949,1.004,1.02902498816355,1.04464405001515,110
"u[12]",1.0025162,0.0273169370275973,0.94668999793964,0.9912,1.001,1.012,1.071,1.02375552347062,5000
"u[13]",0.99772508,0.0245103400700127,0.940489997926054,0.9874,0.9991,1.008,1.05102498841116,1.03015145426123,260
"u[14]",1.02835514,0.0439160089346533,0.9802,1.001,1.013,1.041,1.15202498942661,1.05404588157809,38
"u[15]",0.99279876,0.0266113315536034,0.923892498812524,0.9835,0.9973,1.005,1.04002498828866,1.04844125897824,130
"u[16]",0.98775674,0.0312328178740707,0.904297499865217,0.9783,0.996,1.004,1.035,1.02772149652178,200
"u[17]",0.99946082,0.0224220864533117,0.951392498846854,0.9892,1,1.009,1.048,1.0477002399702,550
"u[18]",1.0112686,0.0290320395064415,0.966894999495743,0.9966,1.004,1.021,1.091,1.04790473580847,120
"u[19]",1.00483052,0.0255013773074812,0.9549,0.9936,1.001,1.015,1.064,1.04093994099815,210
"u[20]",1.00236582,0.0227635076643262,0.95729749987268,0.9914,1.001,1.01,1.05502498845507,1.03951636832202,5000
"u[21]",1.00184644,0.0254455525889243,0.946889997940076,0.9919,1.001,1.012,1.057,1.02073447309605,5000
"u[22]",1.01403848,0.0311008772256096,0.970394999497562,0.9979,1.005,1.024,1.09902498891701,1.04034295882424,200
"u[23]",0.99755784,0.0248888618788309,0.9397949994812,0.9865,0.9988,1.01,1.047,1.03938587018114,2400
"u[24]",1.00419302,0.0269680850785175,0.9484,0.9921,1.001,1.015,1.07,1.02707413511393,1900
"u[25]",0.99408388,0.0251968873627707,0.931297499869125,0.9855,0.9972,1.005,1.04,1.03143440099872,180
"u[26]",0.99494472,0.0272108512584013,0.9291,0.985074999048264,0.9982,1.007,1.047,1.01933166258267,5000
"u[27]",1.00337594,0.0235372922814411,0.957792498854561,0.9927,1.001,1.012,1.059,1.01731210176773,510
"u[28]",1.0029643,0.0245975349019907,0.95399749987224,0.9925,1.001,1.013,1.063,1.02345028054031,400
"u[29]",0.99976098,0.0290014998377354,0.934897499869629,0.9888,1,1.011,1.062,1.02722165322898,5000
"u[30]",0.99614522,0.0251471308261869,0.937294999479816,0.9867,0.9988,1.007,1.046,1.03827532036308,250
"u[31]",1.00652022,0.0278983538722512,0.957194999490632,0.994074999056881,1.002,1.017,1.076,1.02403331608122,180
"u[32]",1.01498738,0.0304960600844066,0.972097499874619,0.9985,1.005,1.024,1.098,1.0495538657802,63
"u[33]",1.00068346,0.0257771562586985,0.9421,0.9894,1.001,1.011,1.061,1.03355170803525,5000
"u[34]",1.00559382,0.0240872738839461,0.9623,0.99427499905707,1.002,1.015,1.068,1.05435181529754,110
"u[35]",0.99502734,0.0278280266339111,0.92459499947267,0.9857,0.9987,1.005,1.049,1.02934577591383,1100
"u[36]",0.99752662,0.0255541951302198,0.936392498828378,0.988274999051345,0.9998,1.008,1.049,1.01757865888389,5000
"u[37]",1.00271068,0.0254328423073625,0.954294999489084,0.9922,1.001,1.012,1.064,1.00645726926318,5000
"u[38]",1.00105324,0.0207741750924689,0.958397499872826,0.9911,1,1.01,1.049,1.04648026423805,720
"u[39]",0.97169584,0.0365418931732571,0.8809,0.9517,0.985,0.9982,1.017,1.06888294590337,30
"u[40]",1.00279634,0.0282578117586886,0.946984995365015,0.9911,1,1.013,1.07002498861682,1.00921385561599,390
